SourceName,Count,Datasets
History-computer,4,best_games_of_the_nintendo_switch;best_open-world_games_of_all_time;best_rpg_games_of_all_time;best_rts_games_of_all_time
Kotaku,4,best_games_of_2022;best_games_of_2023;best_steam_deck_games;most_anticipated_games_of_2024
Nme,4,best_games_of_2021;best_games_of_2022;best_games_of_2023;best_rts_games_of_all_time
Rockpapershotgun,4,best_mmorpg_games_of_all_time;best_open-world_games_of_all_time;best_rts_games_of_all_time;best_survival_horror_games_of_all_time
Stuff TV,4,best_games_of_the_nintendo_switch;best_steam_deck_games;most_anticipated_games_of_2023;most_anticipated_games_of_2024
Watchmojo,4,best_games_of_the_gamecube;best_games_of_the_nintendo_ds;best_games_of_the_playstation_1;best_open-world_games_of_all_time
Whatculture,4,best_games_of_2023;best_narrative_games_of_all_time;best_open-world_games_of_all_time;most_anticipated_games_of_2024
Whatoplay,4,best_games_of_the_nintendo_switch;best_games_of_the_playstation_3;best_games_of_the_playstation_4;best_indie_games_of_the_nintendo_switch
Beebom,3,best_games_of_the_nintendo_ds;best_mmorpg_games_of_all_time;best_steam_deck_games
Canaltech,3,best_games_of_the_playstation_1;best_games_of_the_playstation_4;best_indie_games_of_all_time
CNET,3,best_games_of_2010;best_games_of_2011;best_games_of_the_gamecube
Complex,3,best_games_of_the_playstation_2;best_narrative_games_of_all_time;most_anticipated_games_of_2024
Ggrecon,3,best_games_of_meta_quest_3;best_rpg_games_of_all_time;best_steam_deck_games
Highgroundgaming,3,best_narrative_games_of_all_time;best_open-world_games_of_all_time;best_rts_games_of_all_time
Laptopmag,3,best_games_of_the_meta_quest_2;best_games_of_the_nintendo_switch;best_steam_deck_games
Liga dos Games,3,best_games_of_the_playstation_1;best_indie_games_of_all_time;best_vr_games_of_all_time
Opencritic,3,best_games_of_2023;best_games_of_all_time;best_games_of_the_nintendo_switch
Pushsquare,3,best_games_of_the_playstation_4;best_games_of_the_playstation_5;best_games_of_the_psvr_2
Retro-sanctuary,3,best_games_of_the_gamecube;best_games_of_the_nes;best_games_of_the_playstation_1
Shortlist,3,best_games_of_meta_quest_3;best_games_of_the_playstation_4;most_anticipated_games_of_2024
Svg,3,best_games_of_all_time;best_games_of_the_playstation_2;best_rpg_games_of_all_time
Techraptor,3,best_games_of_2010;best_games_of_2011;best_games_of_2013
Time,3,best_games_of_2021;best_games_of_2023;best_games_of_2024
WhatIfGaming,3,best_games_of_the_meta_quest_2;best_steam_deck_games;best_vr_games_of_all_time
6dofreviews,2,best_games_of_meta_quest_3;best_games_of_the_meta_quest_2
Creativebloq,2,best_games_of_the_nintendo_switch;best_games_of_the_psvr_2
Dexerto,2,best_games_of_2023;best_games_of_the_playstation_2
Digitalspy,2,best_games_of_2008;best_games_of_2023
Digitaltrends,2,best_games_of_2022;best_games_of_all_time
Entertainment,2,best_games_of_2021;best_games_of_2022
Esquire,2,best_games_of_2021;best_games_of_all_time
FTW USA Today,2,best_games_of_all_time;best_rts_games_of_all_time
Gameinformer,2,best_games_of_2023;best_rpg_games_of_all_time
Gamepro,2,best_indie_games_of_the_nintendo_switch;best_rts_games_of_all_time
Gamingbolt,2,best_games_of_2001;best_games_of_all_time
Gq-magazine,2,best_games_of_2023;best_games_of_all_time
Insider-gaming,2,best_mmorpg_games_of_all_time;best_survival_horror_games_of_all_time
News AU,2,best_games_of_the_nintendo_switch;best_rts_games_of_all_time
Plarium,2,best_action_adventure_games_of_all_time;best_narrative_games_of_all_time
Player,2,best_games_of_2002;best_games_of_2003
Sportskeeda,2,best_narrative_games_of_all_time;most_anticipated_games_of_2024
Theloadout,2,best_games_of_the_nintendo_switch;best_games_of_the_xbox_series_x_s
Themarysue,2,best_narrative_games_of_all_time;most_anticipated_games_of__2025
Uploadvr,2,best_games_of_meta_quest_3;best_games_of_the_meta_quest_2
Wealthofgeeks,2,best_indie_games_of_the_nintendo_switch;best_narrative_games_of_all_time
Youtube,2,best_games_of_all_time;best_narrative_games_of_all_time
50gameslike,1,best_walking_simulator_games_of_all_time
Apptrigger,1,most_anticipated_games_of_2023
Areajugones,1,best_games_of_2022
Artcetera,1,best_indie_games_of_all_time
as,1,most_anticipated_games_of_2023
Beanstalk,1,best_walking_simulator_games_of_all_time
Blog,1,best_rpg_games_of_all_time
Bosslevelgamer,1,best_grand_strategy_games_of_all_time
Chillopedia,1,best_rts_games_of_all_time
Cibersistemas,1,best_indie_games_of_all_time
Comingsoon,1,best_narrative_games_of_all_time
Diamondlobby,1,best_indie_games_of_the_nintendo_switch
Digio,1,best_indie_games_of_all_time
Duniagames,1,best_narrative_games_of_all_time
Edition,1,best_games_of_the_nintendo_switch
Elhombre,1,best_games_of_the_playstation_1
Essentiallysports,1,most_anticipated_games_of_2023
Ew,1,best_games_of_the_atari
Exputer,1,best_games_of_the_playstation_2
Fantasywarden,1,most_anticipated_games_of_2023
Fictionhorizon,1,best_open-world_games_of_all_time
